Average of latency,Column Labels,,,
Row Labels,1,2,3,Grand Total
16450065582,,,39.94202899,39.94202899
16450065583,,,32.10958904,32.10958904
16450065584,,,28.47959184,28.47959184
16450065585,,,29.66216216,29.66216216
16450065586,,,32.31884058,32.31884058
16450065587,,,25.97029703,25.97029703
16450065588,,,32.17857143,32.17857143
16450065589,,,25.86458333,25.86458333
16450065590,,,32.21621622,32.21621622
16450065591,,,26.7826087,26.7826087
16450065592,,,25.19387755,25.19387755
16450065593,,,32.51948052,32.51948052
16450065594,,,25.52083333,25.52083333
16450065595,,,25.24242424,25.24242424
16450065596,,,25.72916667,25.72916667
16450065597,,,26.97959184,26.97959184
16450065598,,,26.98888889,26.98888889
16450065599,,,27.75,27.75
16450065600,,,26.37113402,26.37113402
16450065601,,,26.7173913,26.7173913
16450065602,,,29.43157895,29.43157895
16450065603,,,28.21917808,28.21917808
16450065604,,,35.96103896,35.96103896
16450065605,,,27.53333333,27.53333333
16450065606,,,31.64864865,31.64864865
16450065607,,,27.93406593,27.93406593
16450065608,,,25.15217391,25.15217391
16450065609,,,26.73737374,26.73737374
16450065610,,,27.03296703,27.03296703
16450065611,,,28.61052632,28.61052632
16450065612,,,26.06593407,26.06593407
16450065613,,,32,32
16450065614,,,25.61538462,25.61538462
16450065615,,,30.60714286,30.60714286
16450065616,,,25.23762376,25.23762376
16450065617,,,34.5,34.5
16450065618,,,24.13684211,24.13684211
16450065619,,,25.29292929,25.29292929
16450065620,,,24.03846154,24.03846154
16450065621,,,27.61386139,27.61386139
16450065622,,,32.51428571,32.51428571
16450065623,,,26.08695652,26.08695652
16450065624,,,25.47959184,25.47959184
16450065625,,,26.15217391,26.15217391
16450065626,,,29.05747126,29.05747126
16450065627,,,27.53535354,27.53535354
16450065628,,,36.34246575,36.34246575
16450065629,,,25.27659574,25.27659574
16450065630,,,26.04494382,26.04494382
16450065631,,,32.14285714,32.14285714
16450065632,,,27.40243902,27.40243902
16450065633,,,27.32631579,27.32631579
16450065634,,,26,26
16450065635,,,32.86585366,32.86585366
16450065636,,,27.43820225,27.43820225
16450065637,,,28.11904762,28.11904762
16450065638,,,28.4516129,28.4516129
16450065639,,,26.58947368,26.58947368
16450065640,,,25.78723404,25.78723404
16450065641,,,26.67368421,26.67368421
16450065642,,,26.22826087,26.22826087
16450065643,,,26.46938776,26.46938776
16450065644,,,26.70652174,26.70652174
16450065645,,,25.9893617,25.9893617
16450065646,,,26.49019608,26.49019608
16450065647,,,27.41666667,27.41666667
16450065648,,,25.42,25.42
16450065649,,,26.07216495,26.07216495
16450065650,,,26.01052632,26.01052632
